iter	Accuracy	Logloss
480	0.8620289228	0.2970940178
481	0.8620337312	0.2970860381
482	0.8620385397	0.2970780975
483	0.8620409439	0.2970676141
484	0.8620553692	0.2970504903
485	0.8620481566	0.2970432581
486	0.8620625819	0.2970305436
487	0.8620673903	0.2970251461
488	0.8620866241	0.2970127236
489	0.8620770072	0.2970071236
490	0.8621106663	0.2969980364
491	0.8621323043	0.2969906149
492	0.8621274959	0.2969822601
493	0.8621299001	0.2969763988
494	0.8621106663	0.2969690425
495	0.8621250917	0.2969565346
496	0.8621371128	0.2969490064
497	0.8621371128	0.2969420451
498	0.862117879	0.2969359939
499	0.8621299001	0.2969280366
500	0.8621274959	0.2969186447
501	0.8621130706	0.2969091438
502	0.8621106663	0.296900725
503	0.8621274959	0.2968906394
504	0.8621299001	0.2968812389
505	0.8621347085	0.2968730898
506	0.8621299001	0.2968619491
507	0.8621347085	0.2968509894
508	0.8621443254	0.2968453589
509	0.8621563465	0.2968353758
510	0.8621539423	0.2968243729
511	0.862161155	0.2968095921
512	0.8621876014	0.2967967461
513	0.8621900056	0.2967843807
514	0.8621900056	0.2967760606
515	0.8621924099	0.296765116
516	0.8621996225	0.2967566505
517	0.8621948141	0.2967493262
518	0.8621900056	0.2967423549
519	0.8622164521	0.2967321709
520	0.8622308774	0.2967233868
521	0.8622332816	0.2967143152
522	0.862269345	0.2967058746
523	0.8622765576	0.2966979039
524	0.8622765576	0.2966859938
525	0.8623005999	0.2966769409
526	0.8623150252	0.2966696864
527	0.8623246421	0.2966604376
528	0.8623294505	0.2966503559
529	0.8623462801	0.29664195
530	0.8623222378	0.2966361436
531	0.8623270463	0.2966273282
532	0.8623222378	0.2966154688
533	0.8623294505	0.2966082926
534	0.8623246421	0.2966002748
535	0.8623222378	0.29659267
536	0.8623294505	0.2965839542
537	0.8623438758	0.296576728
538	0.8623462801	0.2965691843
539	0.8623607054	0.2965633883
540	0.8623799392	0.296555037
541	0.8623847476	0.2965488555
542	0.8623727265	0.2965407549
543	0.8623727265	0.2965300654
544	0.8623727265	0.296522144
545	0.8623871518	0.2965137745
546	0.8623847476	0.2965082262
547	0.8623655138	0.2964993062
548	0.8623631096	0.2964926278
549	0.8623703223	0.2964846066
550	0.8624063856	0.2964757947
551	0.8624304278	0.2964671593
552	0.8624160025	0.2964561581
553	0.8624160025	0.2964477339
554	0.8624352363	0.2964403553
555	0.8624520658	0.2964337035
556	0.8624520658	0.2964239386
557	0.8624352363	0.2964119485
558	0.8624520658	0.2964055632
559	0.8624737038	0.2963966012
560	0.8624616827	0.2963925153
561	0.862476108	0.2963828036
562	0.8624809165	0.296374306
563	0.8624737038	0.2963666033
564	0.8624833207	0.29636105
565	0.8624953418	0.296352423
566	0.8625049587	0.296344775
567	0.862519384	0.2963311511
568	0.8625265967	0.2963232237
569	0.8625314051	0.2963140544
570	0.8625314051	0.2963061066
571	0.8625458305	0.2962959496
572	0.8625578516	0.2962851673
573	0.8625458305	0.2962808198
574	0.8625386178	0.2962733739
575	0.8625290009	0.2962638197
576	0.8625506389	0.2962515553
577	0.8625602558	0.296242357
578	0.8625506389	0.2962353692
579	0.8625602558	0.2962263519
580	0.8625578516	0.2962180183
581	0.8625698727	0.296208403
582	0.8625867022	0.2961993394
583	0.862584298	0.2961899733
584	0.8625770854	0.2961837967
585	0.8625867022	0.2961771505
586	0.8625794896	0.2961694432
587	0.8626179571	0.2961621818
588	0.8626323825	0.2961550388
589	0.8626660416	0.2961421412
590	0.8626684458	0.2961351478
591	0.8626660416	0.296127098
592	0.8626732542	0.2961185744
593	0.8626636373	0.2961119393
594	0.8626660416	0.2961072951
595	0.8626660416	0.2961010452
596	0.862649212	0.2960904097
597	0.8626684458	0.2960843912
598	0.86267085	0.2960760299
599	0.8626804669	0.2960720503
600	0.8626900838	0.296065859
601	0.8627285513	0.2960582324
602	0.8627237429	0.2960513513
603	0.8627237429	0.2960463334
604	0.8627405724	0.2960398391
605	0.8627742316	0.2960334977
606	0.86277904	0.2960270713
607	0.8627646147	0.296022191
608	0.8627646147	0.2960132556
609	0.8627742316	0.2960057412
610	0.8627670189	0.2959964855
611	0.8627934653	0.2959845924
612	0.8627934653	0.2959749632
613	0.8627958695	0.2959679425
614	0.8627886569	0.2959614739
615	0.8628102949	0.295952197
616	0.862800678	0.2959433358
617	0.8627982738	0.2959368221
618	0.8628151033	0.2959272135
619	0.8628295287	0.295917889
620	0.8628175075	0.2959101779
621	0.8628271244	0.2959048997
622	0.8628175075	0.2958991656
623	0.8628151033	0.2958930769
624	0.8628102949	0.2958835142
625	0.8628559751	0.2958729868
626	0.8628463582	0.2958659179
627	0.8628511666	0.2958577358
628	0.8628583793	0.2958495625
629	0.8628607835	0.2958396599
630	0.8628728046	0.2958309242
631	0.8628776131	0.2958232334
632	0.8628968469	0.2958189695
633	0.8629281017	0.2958120997
634	0.8629112722	0.2958076666
635	0.8629160806	0.2957964658
636	0.8629184849	0.2957906235
637	0.862930506	0.2957797328
638	0.8629377186	0.2957747604
639	0.8629617609	0.2957655709
640	0.8629617609	0.2957570497
641	0.862973782	0.2957483496
642	0.8629713777	0.2957404428
643	0.8629761862	0.2957348962
644	0.8629593566	0.29572804
645	0.8629833988	0.2957211153
646	0.8629978242	0.2957128691
647	0.86299542	0.2957058209
648	0.8629833988	0.2956983798
649	0.8629761862	0.295691252
650	0.8630122495	0.2956820508
651	0.8630074411	0.2956766557
652	0.8630362917	0.2956690791
653	0.8630603339	0.2956597383
654	0.8630411002	0.295652422
655	0.8630459086	0.2956448022
656	0.8630483128	0.2956335816
657	0.8630483128	0.2956252259
658	0.8630651424	0.2956197785
659	0.8630651424	0.2956134713
660	0.8631084184	0.2956053601
661	0.8631060142	0.295599398
662	0.8631084184	0.2955920502
663	0.8630747593	0.2955847608
664	0.8630699508	0.2955774659
665	0.8630843762	0.2955723997
666	0.8630939931	0.2955639394
667	0.8630771635	0.2955583079
668	0.8630627382	0.29555128
669	0.8630723551	0.2955452138
670	0.8630699508	0.2955358402
671	0.8630699508	0.2955297244
672	0.8630939931	0.2955213483
673	0.8630963973	0.2955151838
674	0.8631036099	0.295505221
675	0.8630988015	0.2954966923
676	0.8630915888	0.2954916627
677	0.8631060142	0.2954838367
678	0.8631036099	0.295479806
679	0.8630867804	0.2954726709
680	0.8631060142	0.2954657857
681	0.8631132268	0.2954606254
682	0.8631444817	0.2954530154
683	0.8631420775	0.2954496924
684	0.8631468859	0.2954400942
685	0.863137269	0.2954299634
686	0.8631540986	0.2954247105
687	0.8631685239	0.2954167867
688	0.8631733324	0.2954107333
689	0.863180545	0.2954034416
690	0.8631973746	0.2953952204
691	0.8631925661	0.2953884743
692	0.8632190126	0.2953818928
693	0.8632334379	0.2953740578
694	0.8632166084	0.2953685363
695	0.8632045873	0.2953612133
696	0.8632190126	0.2953531045
697	0.8632262253	0.2953447863
698	0.8632262253	0.2953391927
699	0.8632310337	0.2953334099
700	0.8632502675	0.2953270396
701	0.8632622886	0.2953204312
702	0.8632526717	0.2953132511
703	0.8632550759	0.2953065972
704	0.8632430548	0.2953011736
705	0.8632646928	0.2952892478
706	0.8632767139	0.2952786897
707	0.8632767139	0.2952704411
708	0.8632911392	0.2952636754
709	0.8632863308	0.2952546088
